Category,Name,Neighborhood,Vicinity,Off-route (mi),Miles to finish
restaurant,Starbucks,New York,"100 William Street, New York",0.42,84.53
restaurant,Starbucks,New York,"85 West Street, New York",0.04,84.53
restaurant,McDonald's,New York,"160 Broadway, New York",0.27,84.5
park,Zuccotti Park,New York,"Cedar Street, New York",0.21,84.5
restaurant,Starbucks,New York,"200 Liberty Street, New York",0.03,84.43
restaurant,Starbucks,New York,"130 Fulton Street, New York",0.37,84.42
restaurant,Kesté Pizza e Vino,New York,"77 Fulton Street, New York",0.53,84.42
restaurant,Red Mango,New York,"111 Fulton Street, New York",0.43,84.42
water,Drinking Water Fountain (Bottle Refill),New York,"John J Delury Senior Plaza, 76 Fulton St, New York",0.54,84.42
restaurant,Starbucks,New York,"22 Dey Street, New York",0.23,84.4
park,9/11 Memorial & Museum,New York,"180 Greenwich Street, New York",0.07,84.38
restaurant,JOE & THE JUICE,New York,"285 Fulton St, New York",0.07,84.29
restaurant,B & Co,New York,"22 Park Place #1, New York",0.3,84.25
water,Jacob Wrey Mould Fountain,New York,"43 Park Row, New York",0.38,84.25
restaurant,Shake Shack Battery Park City,New York,"215 Murray Street, New York",0.05,84.15
park,Irish Hunger Memorial,New York,"North End Ave &, Vesey Street, New York",0.13,84.15
bike_shop,Fancy Apple Bike & Scooter Rentals and Tours at Brooklyn Bridge,New York,"125 Church Street, New York",0.29,84.13
restaurant,Kaffe Åre,New York,"275 Greenwich Street, New York",0.13,84.11
restaurant,Le Pain Quotidien,New York,"81 West Broadway, New York",0.23,84.1
park,Foley Square,New York,"Lafayette Street Worth Street, Centre Street, New York",0.56,84.08
park,Rockefeller Park,New York,"75 Battery Place, New York",0.17,84.08
restaurant,JOE & THE JUICE,New York,"295 Greenwich St, New York",0.14,84.06
restaurant,Starbucks,New York,"125 Chambers Street, New York",0.24,84.06
restaurant,The Frederick Hotel,New York,"95 West Broadway, New York",0.24,84.05
bike_shop,Gotham Fix,New York,"Greenwich St and, Chambers Street, New York",0.13,84.03
park,Teardrop Park,New York,"Warren Street, New York",0.12,84.02
bike_shop,Citi Bike: Hudson St & Reade St,New York,New York,0.22,84.01
water,Drinking Water Fountain (Bottle Refill),New York,"212 Warren St, New York",0.17,84.0
restaurant,Forgione,New York,"30 Hudson Street, New York",0.23,83.98
park,Columbus Park,New York,"Mulberry Street &, Baxter Street, New York",0.7,83.98
park,Washington Market Park,New York,"199 Chambers Street, New York",0.09,83.98
restaurant,Cafe Gusto,New York,"111 Worth Street, New York",0.49,83.97
restaurant,Gigino Trattoria,New York,"323 Greenwich Street, New York",0.14,83.96
restaurant,The Odeon,New York,"145 West Broadway, New York",0.28,83.95
park,Collect Pond Park,New York,"130 Leonard Street, New York",0.6,83.94
restaurant,Scalini Fedeli,New York,"165 Duane Street, New York",0.19,83.93
bike_shop,Citi Bike: Leonard St & Church St,New York,New York,0.39,83.87
restaurant,Whiskey Tavern,New York,"79 Baxter Street A, New York",0.7,83.87
park,Watson Gold Landscaping Design Inc.,New York,"10 Leonard Street, New York",0.24,83.85
park,Pier 25 at Hudson River Park,New York,"West Street, New York",0.08,83.79
restaurant,Locanda Verde Tribeca,New York,"377 Greenwich Street, New York",0.14,83.77
restaurant,Bubby's,New York,"120 Hudson Street, New York",0.22,83.77
park,Pier 26 at Hudson River Park,New York,"Hudson River Greenway, New York",0.04,83.72
restaurant,La Colombe Coffee Workshop,New York,"319 Church Street, New York",0.45,83.71
cafe,Smile To Go,New York,"22 Howard Street, New York",0.64,83.71
restaurant,Macao Trading Company,New York,"311 Church Street, New York",0.45,83.71
restaurant,Wolfgang's Steakhouse,New York,"409 Greenwich Street, New York",0.13,83.68
restaurant,Landmark Coffee Shop,New York,"158 Grand Street, New York",0.72,83.67
bike_shop,Citi Bike: Laight St & Hudson St,New York,New York,0.23,83.62
bike_shop,Priority Bicycles,New York,"174 Hudson Street, New York",0.22,83.58
restaurant,Gilligan's,New York,"310 West Broadway, New York",0.38,83.58
restaurant,Cipriani Downtown,New York,"376 West Broadway, New York",0.45,83.48
restaurant,Ground Support Cafe,New York,"399 West Broadway, New York",0.5,83.42
restaurant,Dominique Ansel Bakery,New York,"189 Spring Street, New York",0.44,83.37
water,ELIX,New York,"172 Prince St, New York",0.5,83.31
restaurant,JOE & THE JUICE,New York,"161 Prince St, New York",0.52,83.31
water,Clean Market,New York,"40 Bleecker St, New York",0.89,83.3
water,Public Drinking Water Fountains with bottle refill,New York,"Playground of the Americas, W Houston St &, 6th Ave, New York",0.43,83.2
restaurant,Porto Rico Importing Co.,New York,"201 Bleecker Street, New York",0.48,83.09
park,James J Walker Park,New York,"Hudson Street, New York",0.23,83.09
restaurant,Spunto NYC Thin Crust Pizza,New York,"65 Carmine Street, New York",0.32,83.08
water,Water station,New York,"Hudson River Greenway, New York",0.02,83.06
park,Leroy Street Dog Park,New York,"2, 353 West Street, New York",0.01,83.06
restaurant,Third Rail Coffee,New York,"240 Sullivan Street, New York",0.59,83.05
restaurant,Artichoke Basille's Pizza,New York,"111 MacDougal Street, New York",0.53,83.05
park,Father Demo Square,New York,"220 Bleecker Street, New York",0.45,83.04
cafe,Caffe Reggio,New York,"119 MacDougal Street, New York",0.54,83.03
restaurant,La Lanterna di Vittorio,New York,"129 MacDougal Street, New York",0.56,83.01
restaurant,Pasticceria Rocco,New York,"243 Bleecker Street #4438, New York",0.42,83.01
restaurant,Blue Note,New York,"131 West 3rd Street, New York",0.53,83.0
restaurant,Palma,New York,"28 Cornelia Street, New York",0.44,82.99
park,Washington Square Park,New York,New York,0.7,82.99
park,West 4th Street Courts,New York,"272 6th Avenue, New York",0.51,82.99
water,Washington Square Fountain,New York,"Washington Square N, New York",0.7,82.99
restaurant,John's of Bleecker Street,New York,"278 Bleecker Street, New York",0.38,82.98
restaurant,The Taco Shop,New York,"166 W 4th Street, New York",0.48,82.91
restaurant,Little Owl,New York,"90 Bedford Street, New York",0.28,82.9
bike_shop,Waterfront Bicycle Shop,New York,"391 West Street, New York",0.03,82.89
restaurant,Buvette,New York,"42 Grove Street, New York",0.33,82.88
restaurant,Babbo,New York,"110 Waverly Place, New York",0.59,82.87
restaurant,"One if by Land, Two if by Sea",New York,"17 Barrow Street, New York",0.42,82.87
park,Sheridan Square Viewing Garden,New York,"W. 4 St &, Barrow Street, New York",0.44,82.84
restaurant,Joe Coffee Company: Waverly,New York,"141 Waverly Place, New York",0.52,82.83
restaurant,Amorino Gelato - New York Greenwich Village,New York,"60 University Place, New York",0.87,82.83
restaurant,McNulty's Tea & Coffee Co,New York,"109 Christopher Street, New York",0.28,82.83
restaurant,Marie's Crisis Café,New York,"59 Grove Street, New York",0.37,82.83
restaurant,Employees Only,New York,"510 Hudson Street, New York",0.23,82.83
park,Pier 46 at Hudson River Park,New York,"Hudson River Greenway, New York",0.04,82.8
restaurant,Jack’s Stir Brew Coffee,New York,"138 West 10th Street, New York",0.51,82.78
restaurant,Alta,New York,"64 West 10th Street, New York",0.65,82.78
park,Jefferson Market Garden,New York,"10 Greenwich Avenue, New York",0.57,82.78
restaurant,JOE & THE JUICE,New York,"549 Hudson St Street, New York",0.22,82.72
restaurant,Joe Coffee Company: 13th Street,New York,"9 East 13th Street, New York",0.89,82.68
park,McCarthy Square,New York,"Charles St &, Waverly Place, New York",0.45,82.68
bike_shop,Citi Bike: Bank St & Washington St,New York,New York,0.09,82.66
bike_shop,Fly E-Bike 6th Ave,New York,"476 B 6th Avenue, New York",0.65,82.66
restaurant,Magnolia Bakery,New York,"401 Bleecker Street, New York",0.28,82.66
park,Union Square Drinking Fountain,New York,New York,1.02,82.61
restaurant,Li-Lac Chocolates,New York,"75 Greenwich Avenue, New York",0.46,82.6
restaurant,Mighty Quinn's Barbeque,New York,"75 Greenwich Avenue, New York",0.46,82.6
restaurant,Bus Stop Cafe,New York,"597 Hudson Street, New York",0.22,82.59
restaurant,Waverly Inn,New York,"16 Bank Street, New York",0.42,82.58
park,Jane Street Garden,New York,"36 Jane Street, New York",0.29,82.56
park,Pier 51 at Hudson River Park,New York,"Hudson River Greenway, New York",0.03,82.52
restaurant,Pastis,New York,"52 Gansevoort Street, New York",0.16,82.37
bike_shop,Whizz E-Bikes Rental in Manhattan Union,New York,"229 West 13th Street, New York",0.44,82.34
restaurant,STK Steakhouse Downtown NYC,New York,"26 Little West 12th Street, New York",0.13,82.34
park,Jackson Square,New York,"8 Ave &, Greenwich Avenue, New York",0.37,82.34
water,Public Drinking Water Fountains with bottle refill,New York,"10 Gansevoort St, New York",0.28,82.34
restaurant,The Donut Pub,New York,"203 West 14th Street, New York",0.52,82.33
bike_shop,Hudson E-Bike,New York,"675 Hudson Street, New York",0.21,82.32
restaurant,Dos Caminos,New York,"675 Hudson Street, New York",0.21,82.32
restaurant,Old Homestead Steakhouse,New York,"56 9th Avenue, New York",0.24,82.27
park,The Diller - Von Furstenberg Sundeck,New York,New York,0.07,82.26
restaurant,JOE & THE JUICE,New York,"929 Broadway, New York",1.02,82.22
restaurant,Amy's Bread,New York,"75 9th Avenue, New York",0.17,82.21
restaurant,The Tippler,New York,"425 West 15th Street, New York",0.14,82.2
bike_shop,Echelon Cycles,New York,"151 West 19th Street, New York",0.66,82.19
restaurant,Pier 57,New York,"25 11th Avenue, New York",0.01,82.15
bike_shop,Trek Bicycle Chelsea,New York,"183 8th Avenue, New York",0.44,82.11
restaurant,ZiZi,New York,"182 8th Avenue, New York",0.46,82.11
restaurant,Malibu Diner,New York,"163 West 23 Street, New York",0.71,82.0
bike_shop,Bicycle Habitat,New York,"228 7th Avenue, New York",0.67,81.98
water,REVIV New York - IV Therapy | NAD+ | Weight loss Injections | Glutathione | B12,New York,"1140 Broadway Suite 402, New York",1.04,81.97
restaurant,Chelsea Piers Fitness,New York,"60 Chelsea Piers, New York",0.1,81.93
restaurant,Lucky Strike Chelsea Piers,New York,"60 Chelsea Piers, New York",0.09,81.93
restaurant,JOE & THE JUICE,New York,"1165 Broadway High Street, New York",1.02,81.91
restaurant,Brooklyn Bagel & Coffee Company,New York,"286 8th Avenue, New York",0.55,81.88
restaurant,Joe Coffee Company: Chelsea,New York,"405 West 23 Street, New York",0.35,81.86
restaurant,BOTTINO | modern italian dining,New York,"246 10th Avenue, New York",0.24,81.81
restaurant,JOE & THE JUICE,New York,"322 7th Ave, New York",0.76,81.81
bike_shop,LAST MILE NYC,New York,"511 West 25th Street, New York",0.23,81.8
park,Chelsea Park,New York,"West 27th Street &, 9th Avenue, New York",0.37,81.8
restaurant,Krispy Kreme,New York,"2 Penn Plz Amtrak Level, New York",0.82,81.8
park,Chelsea Waterside,New York,"557 W 23 St, New York",0.05,81.71
park,Pier 63 at Hudson River Park,New York,"West 23rd Street and, 12th Avenue, New York",0.04,81.69
park,Pier 64 at Hudson River Park,New York,"163 12th Avenue, New York",0.01,81.62
park,Pier 66 at Hudson River Park,New York,"211 12th Avenue, New York",0.02,81.52
park,Habitat Garden at Hudson River Park,New York,New York,0.01,81.47
restaurant,JOE & THE JUICE,New York,"20 Hudson Yards, New York",0.31,81.26
park,Manhattan West,New York,"Manhattan West Plaza, 385 9th Avenue, New York",0.47,81.25
restaurant,Primo Cappuccino,New York,"1 Pennsylvania Plaza # 1514, New York",0.79,81.17
cafe,Cookies Cafe,New York,"1 Pennsylvania Plaza 36 Fl, New York",0.79,81.17
restaurant,Tick Tock Diner NY,New York,"481 8th Avenue, New York",0.69,81.13
restaurant,Starbucks,New York,"494 8th Avenue, New York",0.71,81.1
restaurant,Coffee & Crumbs,New York,"330 West 38th Street, New York",0.47,81.09
restaurant,Best Bagel & Coffee,New York,"225 West 35th Street A, New York",0.81,81.08
water,Catalia Beauty & Wellness,New York,"519 8th Ave, New York",0.69,81.07
bike_shop,Green Wheel,New York,"500 8th Avenue #1562, New York",0.72,81.07
restaurant,7-Eleven,New York,"535 8th Avenue, New York",0.68,81.02
restaurant,Dunkin',New York,"265 West 37th Street, New York",0.74,80.98
water,A. Joy Health LLC,New York,"252 W 38th St #505, New York",0.76,80.96
bike_shop,Zoomo e-bikes,New York,"252 West 38th Street, New York",0.76,80.96
bike_shop,Amped Motors,New York,"1384 Broadway, New York",0.98,80.96
restaurant,Repeat Enterprise Corporation,New York,"555 8th Avenue #1910, New York",0.68,80.96
bike_shop,City Bicycles NYC,New York,"307 West 38th Street, New York",0.65,80.94
bike_shop,38ELECTRIC BIKE INC,New York,"333 West 38th Street, New York",0.61,80.94
restaurant,Café Grumpy - Fashion District,New York,"200 West 39th Street, New York",0.84,80.91
park,Astro's Community Dog Run,New York,"525 10th Avenue, New York",0.35,80.88
park,Silver Towers Public Park,New York,"620 West 42nd Street, New York",0.16,80.74
restaurant,42nd Street Pizza,New York,"647 West 42nd Street, New York",0.07,80.71
park,Pier 84 at Hudson River Park,New York,"555 12th Avenue, New York",0.02,80.66
park,Water Fountain,New York,"557 12th Ave, New York",0.04,80.66
restaurant,YOTEL New York Times Square,New York,"570 Tenth Avenue At, West 42nd Street, New York",0.37,80.65
restaurant,Lucky Cheng's Drag Queen Show Place,New York,"in the Green Fig within the YOTEL, Times Square, 570 10th Avenue 4th flr, New York",0.37,80.65
restaurant,Dunkin',New York,"240 West 40th Street, New York",0.77,80.62
restaurant,Happy Family,New York,"500 West 43rd Street, New York",0.32,80.62
restaurant,Little Pie Company,New York,"424 West 43rd Street, New York",0.43,80.61
restaurant,Starbucks,New York,"593 9th Avenue, New York",0.49,80.61
restaurant,Shake Shack Theater District,New York,"691 8th Avenue, New York",0.65,80.61
restaurant,Carmine's - Time Square,New York,"200 West 44th Street, New York",0.79,80.61
restaurant,Birdland Jazz Club,New York,"315 West 44th Street, New York",0.6,80.61
restaurant,Dave & Buster's New York City - Times Square,New York,"234 West 42nd Street 3rd Floor, New York",0.74,80.61
restaurant,Green Symphony,New York,"255 West 43rd Street, New York",0.7,80.61
restaurant,Marseille,New York,"630 9th Avenue, New York",0.5,80.61
restaurant,Red Lobster,New York,"Five Times Square, West 41st Street, New York",0.81,80.61
restaurant,Pio Pio 8,New York,"604 10th Avenue, New York",0.33,80.61
restaurant,Hard Rock Cafe,New York,"1501 Broadway, New York",0.81,80.61
restaurant,Dallas BBQ Times Square,New York,"241 West 42nd Street, New York",0.73,80.61
park,McCaffrey Playground,New York,"West 43rd Street, New York",0.53,80.61
water,Josephine Shaw Lowell Memorial Fountain,New York,"41 W 40th St, New York",1.04,80.61
restaurant,Joe & The Juice,New York,"1114 6th Ave, New York",1.07,80.61
bike_shop,NYC Velo Hell's Kitchen,New York,"Gotham West, 590 West 45th Street (at West Market, 11th Avenue, New York",0.17,80.59
restaurant,Scruffy Duffy's Tap Room,New York,"637 10th Avenue, New York",0.31,80.57
restaurant,Becco,New York,"355 West 46th Street, New York",0.53,80.53
restaurant,Harbor NYC Rooftop,New York,"621 West 46th Street, New York",0.07,80.53
bike_shop,Fly E-Bike 10th Ave,New York,"659 10th Avenue, New York",0.3,80.52
restaurant,Stand Up NY at Bond 45,New York,"221 West 46th Street, New York",0.75,80.52
park,Father Duffy Square,New York,"7th Ave &, West 47th Street, New York",0.81,80.51
restaurant,Trattoria Trecolori,New York,"254 West 47th Street, New York",0.7,80.5
restaurant,Blue Fin,New York,"1567 Broadway, New York",0.79,80.5
restaurant,Sullivan Street Bakery,New York,"533 West 47th Street, New York",0.21,80.48
park,Hell's Kitchen Park,New York,"10th Avenue, New York",0.34,80.46
restaurant,Starbucks,New York,"325 West 49th Street, New York",0.6,80.38
park,Gutenberg Playground,New York,"420 West 49th Street, New York",0.43,80.38
restaurant,Amish Market,New York,"731 9th Avenue, New York",0.47,80.36
bike_shop,"New York Bike Rentals NYC & Scooter Rentals & Tours at Central Park, NYC",New York,"361 West 52nd Street, New York",0.52,80.27
bike_shop,Abix Bike Rent & New York Bike Rentals & Central Park Bike rentals & Scooter Rental,New York,"361 West 52nd Street, New York",0.53,80.24
park,DeWitt Clinton Park,New York,"11th Ave. &, West 54th Street, New York",0.09,80.2
bike_shop,Liberty Cycles,New York,"846 9th Avenue, New York",0.5,80.15
bike_shop,NYC Bike & Scooter Shop,New York,"829 9th Avenue, New York",0.47,80.15
bike_shop,n+ Mercedes-EQ Formula E Team eBikes,New York,"770 11th Avenue, New York",0.13,80.14
restaurant,JOE & THE JUICE,New York,"1758 Broadway High Street, New York",0.75,80.14
restaurant,Starbucks,New York,"4 Columbus Circle, New York",0.66,80.14
water,The Fuel Stop,New York,"200 Central Park S # 102, New York",0.84,80.14
park,Clinton Cove at Hudson River Park,New York,"Hudson River Greenway, New York",0.02,80.06
park,Pier 96 at Hudson River Park,New York,"West 55th Street, New York",0.02,80.04
park,Pier 97 at Hudson River Park,New York,"Hudson River Greenway, New York",0.08,79.98
restaurant,Per Se,New York,"10 Columbus Circle, New York",0.65,79.84
bike_shop,Bike Rent NYC - Central Park West,New York,"Central Park West, New York",0.71,79.79
restaurant,Jean-Georges,New York,"1 Central Park West, New York",0.68,79.78
water,Public Drinking Water Fountains with bottle refill,New York,"16-24 W 61st St, New York",0.59,79.77
water,Water fountain,New York,"near Wollman Rink, Central Park, Center Dr, New York",0.98,79.72
restaurant,Rosa Mexicano,New York,"61 Columbus Avenue, New York",0.55,79.71
park,Rod Nelman,New York,"61 West 62nd Street, New York",0.54,79.71
park,Damrosch Park,New York,"Amsterdam Ave &, West 62nd Street, New York",0.42,79.7
restaurant,Starbucks,New York,"1889 Broadway, New York",0.55,79.69
restaurant,P.J. Clarke's Lincoln Square,New York,"44 West 63rd Street, New York",0.53,79.69
restaurant,The Smith,New York,"1900 Broadway, New York",0.58,79.67
water,Drinking water fountain,New York,"Q29F+P6, New York",0.87,79.67
water,Drinking Water Fountain,New York,"West Dr, E 65th St &, E, New York",0.81,79.67
restaurant,Cafe Fiorello,New York,"1900 Broadway, New York",0.57,79.65
restaurant,Bar Boulud,New York,"1900 Broadway, New York",0.57,79.64
restaurant,Boulud Sud,New York,"20 West 64th Street, New York",0.59,79.64
bike_shop,Cruiser Bikes New York,New York,"25 West 64th Street, New York",0.62,79.62
bike_shop,Toga Bike Shop,New York,"110 West End Avenue, New York",0.2,79.61
restaurant,Lincoln Ristorante,New York,"142 West 65th Street, New York",0.43,79.6
restaurant,Le Pain Quotidien,New York,"60 West 65th Street, New York",0.55,79.59
park,Linda's Lawn,New York,"Hudson River Greenway &, West 66th Street, New York",0.02,79.56
water,Sheep Meadow Drinking Fountain,New York,"West Dr, New York",0.8,79.5
park,Sheep Meadow,New York,"1802 65th Street Transverse, 1802 East 65th Street, New York",0.89,79.44
park,Runners' Grove,New York,"67 Central Park West, New York",0.77,79.43
water,Volleyball Courts Drinking Fountain,New York,"The Mall, New York",0.98,79.43
restaurant,Le Pain Quotidien,New York,"2 West 69th Street, New York",0.87,79.38
restaurant,Magnolia Bakery,New York,"200 Columbus Avenue, New York",0.51,79.37
park,Pier I,New York,"Riverside Park South, New York",0.08,79.37
restaurant,Cafe Luxembourg,New York,"200 West 70th Street, New York",0.32,79.33
restaurant,Pier i Cafe,New York,"Riverside, Park South, West 70th Street #500, New York",0.01,79.32
park,Sherman Square,New York,"Broadway &, West 70th Street, New York",0.36,79.32
restaurant,McDonald's,New York,"2049 Broadway, New York",0.34,79.31
water,Drinking Water Fountain,New York,New York,0.98,79.31
bike_shop,Trek Bicycle Upper West Side 72nd St.,New York,"156 West 72nd Street, New York",0.41,79.25
restaurant,Gray's Papaya,New York,"2090 Broadway, New York",0.37,79.25
park,Imagine Mosaic,New York,"Imagine, Terrace Drive, New York",0.75,79.25
water,Bethesda Fountain,New York,New York,0.99,79.25
water,72 St. Drinking Water Fountain,New York,"Terrace Dr, New York",0.72,79.25
water,Cherry Hill,New York,"Central Prk W, New York",0.89,79.25
water,Bethesda Terrace,New York,New York,1.0,79.25
restaurant,JOE & THE JUICE,New York,"247 Columbus Ave Street, New York",0.54,79.25
bike_shop,Master Bike,New York,"265 West 72nd Street, New York",0.21,79.24
restaurant,Alice's Tea Cup,New York,"102 West 73rd Street, New York",0.51,79.24
park,Verdi Square,New York,"3942 Amsterdam Avenue, New York",0.34,79.24
park,West 72nd Street Dog Run,New York,"Riverside Park, New York",0.06,79.13
restaurant,Salumeria Rosi,New York,"283 Amsterdam Avenue, New York",0.37,79.1
restaurant,Arte Cafe,New York,"106 West 73rd Street, New York",0.5,79.1
restaurant,Starbucks,New York,"267-275 Columbus Avenue, New York",0.54,79.1
restaurant,LENWICH,New York,"302 Columbus Avenue, New York",0.52,79.03
park,Bow Bridge,New York,"Central Park, Bow Bridge, New York",0.9,79.03
water,Drinking Water Fountain (Boathouse),New York,New York,1.07,79.02
restaurant,Starbucks,New York,"2140 Broadway, New York",0.3,79.01
restaurant,Shake Shack Upper West Side,New York,"366 Columbus Avenue, New York",0.52,79.01
park,The Ramble,New York,"79th Street Transverse, New York",0.93,79.01
water,Hamilton Fountain,New York,"39 Riverside Dr, New York",0.07,78.99
restaurant,Hotel Belleclaire,New York,"2175 Broadway, New York",0.26,78.98
park,Neufeld (Elephant) Playground,New York,"40 Riverside Drive, New York",0.05,78.98
park,Tecumseh Playground,New York,"Amsterdam Ave &, West 78th Street, New York",0.39,78.98
restaurant,Irving Farm Coffee,New York,"224 West 79th Street, New York",0.31,78.91
restaurant,Jing Fong,New York,"380 Amsterdam Avenue, New York",0.35,78.91
restaurant,Blondies Sports,New York,"212 West 79th Street, New York",0.33,78.91
park,Theodore Roosevelt Park,New York,"200 Central Park West, New York",0.59,78.91
water,Diana Ross Playground,New York,"Central Park West &, W 81st St, New York",0.76,78.91
bike_shop,Specialized NYC - Upper West Side,New York,"430 Columbus Avenue, New York",0.54,78.9
restaurant,Sarabeth's Upper West Side,New York,"423 Amsterdam Avenue, New York",0.41,78.88
restaurant,Zabar's,New York,"2245 Broadway, New York",0.29,78.87
restaurant,Peacefood - Upper West Side,New York,"460 Amsterdam Avenue, New York",0.39,78.66
restaurant,Barnes & Noble,New York,"2289 Broadway, New York",0.28,78.64
restaurant,5 Napkin Burger,New York,"2315 Broadway, New York",0.29,78.57
restaurant,Joe Coffee Company: W 85th St,New York,"514 Columbus Avenue, New York",0.56,78.53
restaurant,French Roast,New York,"2340 Broadway, New York",0.34,78.5
restaurant,Starbucks,New York,"2370 Broadway, New York",0.34,78.45
water,Public Drinking Water Fountain,New York,"Q2PM+28, New York",0.88,78.44
restaurant,Milk Bar,New York,"561 Columbus Avenue, New York",0.59,78.43
park,Wilson Barbara,New York,"2373 Broadway, New York",0.3,78.43
restaurant,Carmine's - Upper West Side,New York,"2450 Broadway, New York",0.34,78.22
restaurant,Talia's Steakhouse and Bar,New York,"668 Amsterdam Avenue, New York",0.4,78.12
restaurant,Dunkin',New York,"687 Amsterdam Avenue, New York",0.42,78.09
restaurant,Pio Pio 6,New York,"702 Amsterdam Avenue, New York",0.4,78.05
restaurant,Starbucks,New York,"The Lyric Building, 2525 Broadway, New York",0.31,78.02
restaurant,Charlotte Cafe,New York,"2541 Broadway, New York",0.31,78.0
restaurant,Buceo 95,New York,"201 West 95th Street, New York",0.39,78.0
restaurant,PlantShed,New York,"723 Amsterdam Avenue, New York",0.4,77.99
restaurant,McDonald's,New York,"2549 Broadway, New York",0.3,77.98
restaurant,Famous Famiglia Pizzeria,New York,"734 Amsterdam Avenue, New York",0.4,77.97
restaurant,Birch Coffee,New York,"750 Columbus Avenue, New York",0.56,77.93
restaurant,JOE & THE JUICE,New York,"1400 Madison Ave, New York",1.38,77.9
water,Dinosaur Playground,New York,"6681 Riverside Dr, New York",0.11,77.89
